AQ,DQ,Loss,Stage1,Train1,Val1,Test1,Stage2,Train2,Val2,Test2,Stage3,Train3,Val3,Test3,AQMean,AQStdev,DQMean,DQStdev,LossMean,LossStdev,AQNorm,DQNorm,LossNorm,Categorical,Set1,Set2,Set3
17,1,49607053.0770719,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.31429363309631,-1.36193907675068,0.279440882575306,16,Train,Train,Train
18,1,43350183.0294958,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.419058177461747,-1.36193907675068,0.118602455372715,17,Train,Train,Train
19,1,51652228.5923533,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.523822721827184,-1.36193907675068,0.332013943982989,18,Train,Train,Train
20,1,46743547.0102328,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.62858726619262,-1.36193907675068,0.205831904192592,19,Train,Train,Train
21,1,57682381.0717089,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.733351810558057,-1.36193907675068,0.487024393807993,20,Train,Train,Train
22,1,64633133.4038297,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.838116354923494,-1.36193907675068,0.665699684244327,21,Train,Train,Train
23,1,52292199.8520975,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.942880899288931,-1.36193907675068,0.348464976222662,22,Train,Train,Train
24,1,48656082.5767535,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.04764544365437,-1.36193907675068,0.254995337370715,23,Train,Train,Train
25,1,59286519.4571956,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.1524099880198,-1.36193907675068,0.528260202283341,24,Train,Train,Train
26,1,51820765.3466021,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.25717453238524,-1.36193907675068,0.336346331626186,25,Train,Train,Train
27,1,53771932.0002819,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.36193907675068,-1.36193907675068,0.386502811367935,26,Train,Train,Train
28,1,58341884.1362135,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.46670362111611,-1.36193907675068,0.503977508516089,27,Train,Train,Train
29,1,56479340.0126428,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.57146816548155,-1.36193907675068,0.456099149983361,28,Train,Train,Train
30,1,52403174.0346036,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.67623270984699,-1.36193907675068,0.351317666599585,29,Train,Train,Train
31,1,51903195.3042976,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.78099725421242,-1.36193907675068,0.338465267236053,30,,Train,Train
32,1,51539272.1825373,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.88576179857786,-1.36193907675068,0.329110298684444,31,,Train,Train
33,1,51010318.7997509,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.9905263429433,-1.36193907675068,0.31551308002656,32,,Train,Train
34,1,58006529.4172314,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.09529088730873,-1.36193907675068,0.495356916247765,33,,Train,Train
35,1,59584457.3972057,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.20005543167417,-1.36193907675068,0.535918962863444,34,,Train,Train
36,1,60064456.5100088,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.30481997603961,-1.36193907675068,0.548257768332449,35,,Train,Train
37,1,57809076.9747381,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.40958452040504,-1.36193907675068,0.49028122503851,36,,,Train
38,1,70036191.4238504,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.51434906477048,-1.36193907675068,0.804590111473375,37,,,Train
39,1,65208620.3541482,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.61911360913592,-1.36193907675068,0.680493089774733,38,,,Train
40,1,59310613.0153674,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.72387815350136,-1.36193907675068,0.528879548693383,39,,,Train
1,2,114793831.369409,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.36193907675068,-1.25717453238524,1.95512518083003,40,Train,Train,Train
2,2,118600517.850902,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.25717453238524,-1.25717453238524,2.0529794533147,41,Train,Train,Train
3,2,116475856.431352,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.1524099880198,-1.25717453238524,1.99836313581729,42,Train,Train,Train
4,2,112393321.571677,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.04764544365437,-1.25717453238524,1.8934179346485,43,Train,Train,Train
5,2,128139609.130773,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.942880899288931,-1.25717453238524,2.29819030582246,44,Train,Train,Train
6,2,112762828.269986,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.838116354923494,-1.25717453238524,1.90291643401718,45,Validation,Train,Train
7,2,121127244.64069,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.733351810558057,-1.25717453238524,2.11793121989288,46,Train,Validation,Train
8,2,119708974.194409,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.62858726619262,-1.25717453238524,2.08147331263362,47,Train,Train,Validation
9,2,108394530.65713,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.523822721827184,-1.25717453238524,1.79062544630891,48,Train,Train,Train
10,2,117673709.202815,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.419058177461747,-1.25717453238524,2.02915501007989,49,Train,Train,Train
11,2,120595123.114873,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.31429363309631,-1.25717453238524,2.10425256129165,50,Train,Train,Train
12,2,117463859.320448,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.209529088730873,-1.25717453238524,2.02376063161719,51,Validation,Train,Train
13,2,135502478.349252,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.104764544365437,-1.25717453238524,2.4874594285298,52,Train,Train,Train
14,2,122208067.344642,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0,-1.25717453238524,2.1457147318512,53,Train,Validation,Train
15,2,130462576.431872,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.104764544365437,-1.25717453238524,2.35790425294153,54,Train,Train,Train
16,2,127323416.236815,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.209529088730873,-1.25717453238524,2.27720933924334,55,Train,Train,Validation
17,2,132791416.387514,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.31429363309631,-1.25717453238524,2.41776916188544,56,Validation,Train,Train
18,2,138507613.466464,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.419058177461747,-1.25717453238524,2.56470910801945,57,Train,Train,Train
19,2,130568467.706366,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.523822721827184,-1.25717453238524,2.36062628263282,58,Train,Train,Train
20,2,111788379.858105,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.62858726619262,-1.25717453238524,1.87786736814794,59,Train,Train,Train
21,2,132488637.156108,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.733351810558057,-1.25717453238524,2.40998595159041,60,Train,Train,Train
22,2,138821124.95898,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.838116354923494,-1.25717453238524,2.57276820066206,61,Train,Validation,Train
23,2,134234663.61316,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.942880899288931,-1.25717453238524,2.45486911954355,62,Validation,Train,Train
24,2,136717026.456842,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.04764544365437,-1.25717453238524,2.51868047130379,63,Train,Train,Train
25,2,113423149.314217,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.1524099880198,-1.25717453238524,1.91989057562398,64,Train,Train,Validation
26,2,136573680.802653,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.25717453238524,-1.25717453238524,2.51499564336413,65,Train,Train,Train
27,2,128340902.298029,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.36193907675068,-1.25717453238524,2.30336472628859,66,Train,Train,Train
28,2,144103457.773306,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.46670362111611,-1.25717453238524,2.70855527876287,67,Train,Train,Train
29,2,148500570.598894,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.57146816548155,-1.25717453238524,2.8215869872245,68,Train,Validation,Train
30,2,141411582.670808,1,0,0,1,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.67623270984699,-1.25717453238524,2.63935822745456,69,Test,Train,Train
31,2,142022411.480938,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.78099725421242,-1.25717453238524,2.65506012702484,70,,Train,Train
32,2,131018750.792162,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.88576179857786,-1.25717453238524,2.37220121111378,71,,Train,Train
33,2,120635343.815974,0,0,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.9905263429433,-1.25717453238524,2.10528647029997,72,,Train,Validation
34,2,146596250.293889,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.09529088730873,-1.25717453238524,2.77263473467363,73,,Train,Train
35,2,142163277.185917,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.20005543167417,-1.25717453238524,2.65868120565734,74,,Train,Train
36,2,156410010.338996,0,0,0,0,1,0,0,1,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.30481997603961,-1.25717453238524,3.02490619286223,75,,Test,Train
37,2,126075137.645629,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.40958452040504,-1.25717453238524,2.24512122429283,76,,,Train
38,2,136762934.324274,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.51434906477048,-1.25717453238524,2.51986057399696,77,,,Train
39,2,129599729.480917,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.61911360913592,-1.25717453238524,2.33572400220068,78,,,Train
40,2,148213649.117293,0,0,0,0,0,0,0,0,1,0,0,1,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.72387815350136,-1.25717453238524,2.81421141453713,79,,,
1,3,94874790.7139218,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.36193907675068,-1.1524099880198,1.44308846821616,80,Train,Train,Train
2,3,103339209.240281,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.25717453238524,-1.1524099880198,1.6606738987289,81,Train,Train,Train
3,3,109549917.222178,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.1524099880198,-1.1524099880198,1.82032568884557,82,Validation,Train,Train
4,3,107017104.166498,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.04764544365437,-1.1524099880198,1.75521746937223,83,Train,Validation,Train
5,3,104918620.109582,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.942880899288931,-1.1524099880198,1.70127406433781,84,Train,Train,Validation
6,3,112151775.485455,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.838116354923494,-1.1524099880198,1.88720877698508,85,Train,Train,Train
7,3,111521341.295958,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.733351810558057,-1.1524099880198,1.87100290364547,86,Train,Train,Train
8,3,100448099.252958,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.62858726619262,-1.1524099880198,1.58635533694082,87,Train,Train,Train
9,3,114322830.267745,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.523822721827184,-1.1524099880198,1.94301767726574,88,Validation,Train,Train
10,3,94030810.0340015,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.419058177461747,-1.1524099880198,1.4213931918055,89,Train,Train,Train
11,3,116650638.711151,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.31429363309631,-1.1524099880198,2.00285607026726,90,Train,Validation,Train
12,3,128541714.627165,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.209529088730873,-1.1524099880198,2.30852678638182,91,Train,Train,Train
13,3,113076309.314313,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.104764544365437,-1.1524099880198,1.91097474396193,92,Train,Train,Validation
14,3,111835533.048145,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0,-1.1524099880198,1.87907948296988,93,Validation,Train,Train
15,3,116955588.144876,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.104764544365437,-1.1524099880198,2.01069506754924,94,Train,Train,Train
16,3,113175025.144158,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.209529088730873,-1.1524099880198,1.91351232244631,95,Train,Train,Train
17,3,111002384.302816,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.31429363309631,-1.1524099880198,1.85766265110258,96,Train,Train,Train
18,3,116238225.35551,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.419058177461747,-1.1524099880198,1.99225461698883,97,Train,Train,Train
19,3,111083958.28383,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.523822721827184,-1.1524099880198,1.85975958306811,98,Train,Validation,Train
20,3,129308457.579456,1,0,1,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.62858726619262,-1.1524099880198,2.32823659808918,99,Validation,Train,Train
21,3,113842597.552681,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.733351810558057,-1.1524099880198,1.93067286684219,100,Train,Train,Train
22,3,121364150.245121,1,1,0,0,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.838116354923494,-1.1524099880198,2.12402108983143,101,Train,Train,Validation
23,3,123881859.815386,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.942880899288931,-1.1524099880198,2.18874106073625,102,Train,Train,Train
24,3,117203762.667025,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.04764544365437,-1.1524099880198,2.01707461507232,103,Train,Train,Train
25,3,121474217.246335,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.1524099880198,-1.1524099880198,2.12685046030382,104,Train,Train,Train
26,3,128584751.373298,1,1,0,0,1,0,1,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.25717453238524,-1.1524099880198,2.30963308434028,105,Train,Validation,Train
27,3,118984158.494599,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.36193907675068,-1.1524099880198,2.06284127836046,106,Train,Train,Train
28,3,131326066.461662,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.46670362111611,-1.1524099880198,2.38010103459761,107,Train,Train,Train
29,3,128591680.616547,1,0,0,1,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.57146816548155,-1.1524099880198,2.30981120672054,108,Test,Train,Train
30,3,119757649.079652,1,0,0,1,1,1,0,0,1,0,1,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.67623270984699,-1.1524099880198,2.08272454398847,109,Test,Train,Validation
31,3,135888667.380031,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.78099725421242,-1.1524099880198,2.49738676213927,110,,Train,Train
32,3,127649123.299923,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.88576179857786,-1.1524099880198,2.28558192990939,111,,Train,Train
33,3,118542673.287043,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,1.9905263429433,-1.1524099880198,2.05149250718947,112,,Train,Train
34,3,123312275.00084,0,0,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.09529088730873,-1.1524099880198,2.17409937487199,113,,Train,Train
35,3,122053247.622483,0,0,0,0,1,0,0,1,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.20005543167417,-1.1524099880198,2.14173495275676,114,,Test,Train
36,3,122005055.194405,0,0,0,0,1,0,0,1,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.30481997603961,-1.1524099880198,2.1404961233938,115,,Test,Train
37,3,126608226.957814,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.40958452040504,-1.1524099880198,2.25882476070614,116,,,Train
38,3,137095255.090797,0,0,0,0,0,0,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.51434906477048,-1.1524099880198,2.52840317581031,117,,,Train
39,3,132908255.296756,0,0,0,0,0,0,0,0,1,0,0,1,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.61911360913592,-1.1524099880198,2.42077261029585,118,,,
40,3,125265734.690926,0,0,0,0,0,0,0,0,1,0,0,1,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,2.72387815350136,-1.1524099880198,2.2243147991605,119,,,
1,4,98411763.9331792,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.36193907675068,-1.04764544365437,1.53400952064611,120,Train,Train,Train
2,4,89978478.3274235,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.25717453238524,-1.04764544365437,1.31722438963552,121,Train,Train,Train
3,4,86359407.8174515,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.1524099880198,-1.04764544365437,1.22419295309727,122,Train,Train,Train
4,4,83901753.9269513,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.04764544365437,-1.04764544365437,1.16101676702489,123,Train,Train,Train
5,4,95241195.6090777,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.942880899288931,-1.04764544365437,1.45250723296724,124,Train,Train,Train
6,4,105957515.34024,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.838116354923494,-1.04764544365437,1.72797979318574,125,Train,Train,Train
7,4,100045324.295061,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.733351810558057,-1.04764544365437,1.57600164727616,126,Train,Train,Train
8,4,90465298.8698575,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.62858726619262,-1.04764544365437,1.32973854603954,127,Train,Train,Train
9,4,91807804.3968296,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.523822721827184,-1.04764544365437,1.36424884844747,128,Train,Train,Train
